"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.089,0,0.104,0.053,0.287,0
"prosecutor","crime",0,0,0.169,0,0,0,1,0,0,0,0,0.022,0,0,0.232,0.071,0.102,0.14,0,0
"police","crime",0,0,0.024,0,0,0,1,0,0,0,0,0.097,0,0,0.566,0.089,0.039,0,0.105,0
"defendant","crime",0,0,0.184,0,0,0,1,0,0,0,0,0,0.002,0,0.205,0.145,0.08,0.219,0,0
"restaurant","crime",0,0.016,0,0,0.007,0,1,0.129,0,0,0,0.119,0,0,0,0,0,0,0.604,0
"chef","crime",0,0,0.038,0,0,0,1,0,0,0,0,0.152,0,0,0,0.419,0,0,0.073,0
"investigator","crime",0,0,0.105,0,0,0,1,0,0,0,0,0,0.145,0,0.384,0,0.158,0,0.12,0
"witness","crime",0,0,0.135,0,0,0,1,0,0,0,0,0,0.126,0,0.222,0.079,0.039,0.171,0,0
"zzz_phil_jackson","crime",0,0,0,0,0,0,1,0,0,0,0,0.094,0,0,0,0,0.546,0,0,0.168
"witnesses","crime",0,0,0.218,0,0,0,1,0,0,0,0,0,0,0,0.214,0.099,0.038,0.131,0.131,0
"percent","economy",0.023,0.055,0.023,0.056,0.057,0.056,0,1,0.051,0,0.045,0.142,0,0.036,0.132,0,0.007,0,0.013,0.028
"market","economy",0,0,0.01,0,0,0,0.036,1,0,0,0,0.143,0.041,0,0,0.067,0,0.083,0.172,0.003
"growth","economy",0.003,0,0.031,0,0,0,0.012,1,0,0.024,0,0.054,0.015,0,0.051,0.059,0,0,0.029,0
"economy","economy",0,0,0.036,0,0,0,0.102,1,0,0.022,0,0,0.072,0,0,0.194,0,0,0.032,0
"rate","economy",0.061,0.031,0.015,0.022,0.043,0,0.091,1,0,0,0,0.096,0.073,0.01,0.093,0.052,0,0,0,0
"rates","economy",0.059,0.039,0.001,0.028,0.049,0,0.083,1,0.009,0,0,0,0.111,0.019,0.028,0.047,0,0,0,0
"economist","economy",0,0,0.125,0,0,0,0.073,1,0,0.009,0,0,0.17,0,0,0.191,0,0,0,0
"poll","economy",0.051,0.027,0.228,0.059,0.05,0.024,0,1,0,0,0.08,0,0.028,0,0.059,0,0,0.004,0.062,0
"survey","economy",0,0,0.21,0,0,0.039,0,1,0,0,0,0,0.014,0,0.298,0.072,0.004,0,0.022,0.031
"companies","economy",0,0,0.368,0,0,0,0,1,0,0.019,0,0,0,0,0,0.127,0,0.147,0.179,0
"children","education",0,0,0,0.029,0.005,0.028,0,0.22,0.01,0,0.066,0.091,0,0,1,0,0.064,0.127,0.249,0
"reading","education",0.076,0,0,0,0,0,0.021,0.033,0,0.111,0,0.019,0,0,1,0.136,0.056,0,0.122,0
"campus","education",0,0.034,0.016,0,0,0.109,0,0.099,0.092,0.021,0,0.062,0.024,0.078,1,0,0.019,0,0.058,0.2
"learn","education",0,0,0.077,0,0,0,0,0.068,0,0.036,0,0,0,0,1,0.019,0,0.227,0.387,0
"prayer","education",0,0,0.022,0,0,0.039,0.044,0.079,0.025,0.012,0,0,0,0,1,0,0,0.083,0.334,0.041
"application","education",0,0,0.221,0,0,0,0.102,0.112,0,0,0,0,0.011,0,1,0.097,0.019,0,0.131,0
"literature","education",0,0.008,0.086,0,0.003,0,0.155,0.005,0,0,0,0.129,0,0,1,0.163,0.026,0,0,0.026
"deaf","education",0,0,0.055,0,0,0,0.055,0.021,0,0.028,0.055,0,0,0,1,0,0.113,0.065,0.065,0
"learning","education",0.053,0,0.064,0,0,0.051,0,0.108,0,0.207,0,0,0,0.022,1,0.05,0,0.128,0.175,0.056
"textbook","education",0,0.006,0.035,0,0,0.115,0,0.109,0.051,0.051,0,0.08,0,0.026,1,0.14,0.012,0,0.004,0.115
"com","online",0.035,0.035,0,0.035,0.04,0.046,0,0.026,0.026,0,0.018,0.045,0.07,0.02,0.049,0,0,0.014,1,0
"information","online",0.004,0.012,0.047,0.012,0.022,0.021,0,0.029,0,0,0,0.012,0.107,0,0.122,0.052,0.027,0,1,0
"www","online",0.002,0.023,0,0.015,0,0.111,0,0.004,0.076,0.057,0.015,0,0,0.056,0,0,0,0,1,0.131
"zzz_eastern","online",0.032,0.02,0.009,0.028,0.039,0.004,0,0.014,0,0,0.013,0.017,0.161,0,0.061,0.062,0.011,0.013,1,0
"commentary","online",0.033,0.021,0.011,0.03,0.041,0.002,0,0.017,0,0,0.018,0.011,0.171,0,0.062,0.065,0.015,0.018,1,0
"web","online",0,0.04,0,0.054,0.031,0.116,0,0,0.073,0,0.075,0.024,0,0.039,0.012,0,0,0,1,0.091
