"","group","topic 1","topic 2","topic 3","topic 4","topic 5","topic 6","topic 7","topic 8","topic 9","topic 10","topic 11","topic 12","topic 13","topic 14","topic 15","topic 16","topic 17","topic 18","topic 19","topic 20"
"floor","crime",0,0,0,0,0,0,1,0,0,0,0,0,0.009,0,0.104,0,0.122,0.072,0.335,0
"prosecutor","crime",0,0,0.229,0,0,0,1,0,0,0,0,0.025,0.02,0,0.286,0.082,0.125,0.182,0,0
"police","crime",0,0.007,0.046,0,0.013,0,1,0,0,0,0,0.111,0,0,0.653,0.101,0.045,0,0.119,0
"defendant","crime",0,0,0.263,0,0,0,1,0,0,0,0,0,0.039,0,0.263,0.181,0.103,0.291,0,0
"restaurant","crime",0,0.012,0,0,0,0,1,0.135,0.009,0,0,0.124,0,0,0,0,0,0,0.636,0
"chef","crime",0,0,0.069,0,0,0,1,0,0,0,0,0.18,0,0,0,0.504,0,0,0.085,0
"investigator","crime",0,0,0.147,0,0,0,1,0,0,0,0,0,0.197,0,0.464,0,0.191,0,0.143,0
"witness","crime",0,0,0.184,0,0,0,1,0,0,0,0,0,0.178,0,0.27,0.093,0.047,0.217,0,0
"zzz_phil_jackson","crime",0,0,0,0,0,0.029,1,0,0,0,0,0.1,0,0,0,0,0.593,0,0,0.189
"witnesses","crime",0,0,0.308,0,0,0,1,0,0,0,0,0,0,0,0.279,0.123,0.049,0.182,0.168,0
"percent","economy",0.027,0.053,0.024,0.055,0.057,0.063,0.014,1,0.049,0,0.042,0.142,0,0.04,0.132,0,0.007,0,0.013,0.025
"market","economy",0,0,0.014,0,0,0.026,0.02,1,0,0,0,0.143,0.041,0,0,0.067,0,0.083,0.172,0.002
"growth","economy",0.009,0,0.033,0,0,0.017,0,1,0,0.021,0,0.054,0.016,0.001,0.051,0.059,0,0,0.029,0
"economy","economy",0.004,0,0.043,0,0,0,0.061,1,0,0.016,0,0,0.076,0,0,0.194,0,0,0.032,0
"rate","economy",0.056,0.033,0.021,0.02,0.044,0,0.079,1,0.003,0,0,0.096,0.075,0.011,0.093,0.052,0,0,0,0
"rates","economy",0.056,0.042,0.006,0.026,0.052,0.009,0.076,1,0.015,0,0,0,0.113,0.022,0.028,0.047,0,0,0,0
"economist","economy",0,0,0.128,0,0,0,0.031,1,0,0.005,0,0,0.175,0,0,0.191,0,0,0,0
"poll","economy",0.035,0.017,0.218,0.055,0.041,0,0,1,0,0,0.081,0,0.032,0,0.06,0,0,0.005,0.062,0
"survey","economy",0,0,0.208,0,0,0.042,0,1,0,0,0,0,0.016,0,0.299,0.071,0.004,0,0.022,0.024
"companies","economy",0,0,0.369,0,0,0,0,1,0,0.054,0,0,0,0,0,0.123,0,0.15,0.179,0
"children","education",0,0,0,0.027,0,0,0,0.221,0,0,0.07,0.092,0,0,1,0,0.064,0.127,0.25,0
"reading","education",0.069,0,0,0,0,0,0,0.034,0,0.111,0,0.019,0,0,1,0.138,0.056,0,0.122,0
"campus","education",0,0.054,0.01,0,0.016,0.177,0.001,0.098,0.109,0,0,0.063,0.014,0.1,1,0,0.019,0,0.058,0.2
"learn","education",0,0,0.079,0,0,0,0,0.068,0,0.039,0,0,0,0,1,0.018,0,0.228,0.388,0
"prayer","education",0,0,0.023,0,0,0.046,0.027,0.079,0.02,0.005,0,0,0,0.003,1,0,0,0.084,0.334,0.033
"application","education",0,0,0.225,0,0,0,0,0.112,0,0,0,0,0.024,0,1,0.094,0.019,0,0.131,0
"literature","education",0,0.017,0.086,0,0.015,0,0.12,0.006,0.002,0,0,0.13,0,0,1,0.164,0.027,0,0,0.018
"deaf","education",0,0,0.059,0,0,0,0,0.021,0,0.037,0.064,0,0,0,1,0,0.113,0.067,0.065,0
"learning","education",0.064,0,0.064,0,0,0.052,0,0.108,0,0.202,0,0,0,0.032,1,0.05,0,0.129,0.175,0.051
"textbook","education",0,0.021,0.035,0,0,0.102,0,0.109,0.052,0.028,0,0.081,0,0.042,1,0.142,0.012,0,0.004,0.107
"com","online",0.035,0.035,0,0.036,0.042,0.012,0,0.027,0.024,0,0.016,0.045,0.07,0.022,0.05,0,0,0.014,1,0
"information","online",0.003,0.012,0.048,0.013,0.024,0,0,0.03,0,0,0,0.013,0.109,0,0.123,0.052,0.027,0,1,0
"www","online",0.018,0.022,0,0.016,0.002,0.125,0,0.004,0.069,0.045,0.016,0,0,0.063,0,0,0,0,1,0.125
"zzz_eastern","online",0.022,0.02,0.009,0.028,0.039,0,0,0.014,0,0,0.011,0.017,0.165,0,0.061,0.063,0.011,0.014,1,0
"commentary","online",0.022,0.02,0.012,0.03,0.041,0,0,0.017,0,0,0.016,0.012,0.175,0,0.063,0.066,0.015,0.019,1,0
"web","online",0.006,0.034,0,0.054,0.029,0.079,0,0,0.059,0,0.078,0.024,0,0.041,0.013,0,0,0,1,0.085
"business","online",0,0,0.05,0,0,0,0,0.196,0,0.019,0,0.074,0,0,0.101,0.065,0,0.026,1,0
"separate","online",0,0,0.058,0,0,0,0,0.04,0,0,0,0.044,0.146,0,0.098,0.088,0.014,0.022,1,0
"marked","online",0.012,0.005,0.031,0.012,0.024,0,0,0.036,0,0,0,0.013,0.147,0,0.063,0.088,0.009,0.033,1,0
"holiday","online",0.007,0.016,0.021,0.014,0.027,0,0,0.071,0,0,0,0.044,0.149,0,0.062,0.069,0.01,0.024,1,0
"game","sports",0,0,0,0.044,0,0.061,0,0.02,0.009,0,0.107,0.004,0.003,0,0.104,0,0.105,1,0.138,0.02
"ball","sports",0,0,0,0,0,0.032,0.018,0,0,0.124,0,0.069,0,0,0.007,0,0.07,1,0.072,0.003
"guy","sports",0,0,0.103,0,0,0,0.029,0,0,0.013,0,0,0.073,0,0.161,0.013,0,1,0.049,0
"run","sports",0.099,0.103,0,0.055,0.085,0.179,0.009,0.004,0.122,0.006,0,0.091,0,0.126,0,0,0,1,0.043,0.111
"allowed","sports",0.026,0.03,0,0.021,0.028,0.089,0.037,0,0.037,0,0,0.05,0,0.036,0.151,0,0.004,1,0.009,0.016
"threw","sports",0.015,0,0,0,0,0.1,0,0,0.022,0.069,0,0.029,0,0.034,0.007,0,0.019,1,0.042,0.045
"throw","sports",0,0,0,0,0,0.08,0.126,0.095,0.017,0.009,0,0,0,0.011,0,0,0.114,1,0.012,0.026
"left","sports",0,0,0,0,0,0.106,0.229,0.109,0.016,0.085,0,0.023,0,0.022,0.103,0,0.027,1,0.128,0.063
"play","sports",0,0,0,0,0,0.054,0.038,0.007,0,0,0.11,0,0,0,0.308,0,0.097,1,0.135,0.098
"starter","sports",0.047,0.028,0.017,0.014,0.028,0.082,0,0,0.029,0.021,0,0.093,0,0.04,0,0.13,0,1,0,0.024
"","",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
